No,UID,Tanggal,Waktu
1,0441565270,0,0:0:3
2,0442598758,0,0:0:15
3,0442260118,0,0:0:17
4,0442401158,0,0:0:20
5,0431205814,0,0:0:23
6,0431894182,0,0:0:25
7,0441884486,0,0:0:28
8,0441898326,0,0:0:31
9,0442301942,0,0:0:34
10,0431009062,0,0:0:36
11,0431186758,0,0:0:39
12,0442316710,0,0:0:41
13,0442459878,0,0:0:43
14,0442106486,0,0:0:46
15,0819585460,0,0:0:48
16,0431336374,0,0:0:51
17,0431117686,0,0:0:53
18,0430754966,0,0:0:56
19,0442208326,0,0:0:59
20,0442332166,0,0:1:1
21,0442024486,0,0:1:4
22,0441813446,0,0:1:6
23,0441886774,0,0:1:9
24,0442616710,0,0:1:11
25,0441515910,0,0:1:14
26,0442561286,0,0:1:16
27,0438780038,0,0:1:19
28,0439148214,0,0:1:21
29,0442591734,0,0:1:24
30,0442614838,0,0:1:26
31,0818705476,0,0:1:30
32,0431796502,0,0:0:6
33,0442035078,0,0:0:8
34,0441627398,0,0:0:9
35,0431800822,0,0:0:10
36,0431277558,0,0:0:12
37,0431666038,0,0:0:13
38,0431091302,0,0:0:14
39,0431986038,0,0:0:15
40,0431162438,0,0:0:24
41,0431324966,0,0:0:26
42,0818810692,0,0:0:27
43,0819192436,0,0:0:28
44,0431766438,0,0:0:30
45,0818688836,0,0:0:31
46,0430824422,0,0:0:33
47,0431457510,0,0:0:34
48,0819809956,0,0:0:35
49,0441702358,0,0:0:37
50,0442408278,0,0:0:38
51,0432010822,0,0:0:39
52,0430974966,0,0:0:41
53,0819655732,0,0:0:42
54,0430991702,0,0:0:43
55,0431646422,0,0:0:45
56,0431010006,0,0:0:46
57,0431916662,0,0:0:47
58,0442322758,0,0:0:54
59,0432016598,0,0:0:56
60,0430674854,0,0:0:57
61,0819392708,0,0:0:58
62,0431849686,0,0:0:59
63,0431612726,0,0:1:1
64,0442493910,0,0:1:2
65,0439431830,0,0:1:5
66,0442496054,0,0:1:7
67,0431878838,0,0:1:8
68,0431761894,0,0:1:10
69,0431915238,0,0:1:11
70,0431524742,0,0:1:13
71,0431625782,0,0:1:14
72,0431509590,0,0:1:16
73,0441728054,0,0:1:17
74,0818881220,0,0:1:18
75,0430751766,0,0:1:20
76,0431049830,0,0:1:21
77,0819366724,0,0:1:22
78,0819382676,0,0:1:24
79,0430888502,0,0:1:25
80,0431014902,0,0:1:27
81,0430876822,0,0:1:28
82,0819335092,0,0:1:29
83,0818680100,0,0:1:31
84,0818644724,0,0:1:32
85,0819305972,0,0:1:33
86,0819047028,0,0:1:35
87,0819231540,0,0:1:37
88,0818794932,0,0:1:38
89,0442130262,0,0:1:40
90,0819772308,0,0:1:41
91,0430822182,0,0:1:43
92,0431487974,0,0:1:44
93,0818869300,0,0:1:46
94,0818688580,0,0:1:47
95,0431741542,0,0:1:49
96,0430719174,0,0:1:50
97,0819944852,0,0:1:52
98,0430870614,0,0:1:53
99,0441567318,0,0:1:55
100,0819124180,0,0:1:56
101,0431133462,0,0:1:57
102,0819180036,0,0:2:0
103,0819498164,0,0:2:29
104,0431824262,0,0:2:31
105,0819601044,0,0:2:33
106,0430663430,0,0:2:34
107,0819157764,0,0:2:36
108,0439928694,0,0:2:37
109,0431196982,0,0:2:38
110,0818872340,0,0:2:40
111,0819630308,0,0:2:41
112,0819828052,0,0:2:43
113,0819576340,0,0:2:49
114,0431582998,0,0:2:51
115,0819950404,0,0:2:52
116,0431672550,0,0:2:54
117,0819350996,0,0:2:55
118,0819151028,0,0:2:57
119,0431364822,0,0:2:58
120,0819681364,0,0:2:59
121,0431617862,0,0:3:2
122,0431419718,0,0:3:3
123,0819950356,0,0:3:5
124,0442224342,0,0:3:6
125,0442056726,0,0:3:8
126,0442037510,0,0:3:9
127,0441865542,0,0:3:11
128,0442493990,0,0:3:12
129,0819536756,0,0:3:14
130,0431295542,0,0:3:15
131,0431895350,0,0:3:16
132,0439808230,0,0:3:18
133,0438840694,0,0:3:19
134,0431288102,0,0:3:21
135,0819363780,0,0:3:22
136,0439008934,0,0:3:24
137,0431821670,0,0:3:25
138,0442539350,0,0:3:27
139,0431989510,0,0:3:28
140,0431972118,0,0:3:30
141,0431858038,0,0:3:31
142,0431947094,0,0:3:33
143,0819159556,0,0:3:34
144,0431100278,0,0:3:36
145,0818841700,0,0:3:37
146,0819327300,0,0:3:39
147,0431428118,0,0:3:40
148,0819251524,0,0:3:42
149,0819226500,0,0:3:43
150,0819699796,0,0:3:45
151,0818632740,0,0:3:46
152,0819688484,0,0:3:48
153,0818728164,0,0:3:49
154,0818678148,0,0:3:51
155,0432001974,0,0:3:52
156,0431195430,0,0:3:53
157,0818906724,0,0:3:55
158,0819273828,0,0:3:57
159,0431785302,0,0:3:59
160,0819421556,0,0:4:0
161,0819618548,0,0:4:2
162,0430904886,0,0:4:8
163,0819521508,0,0:4:9
164,0819270836,0,0:4:11
165,0442327030,0,0:4:13
166,0442122086,0,0:4:14
167,0442597334,0,0:4:16
168,0441645718,0,0:4:17
169,0441548102,0,0:4:19
170,0441847862,0,0:4:21
